"","study ID","first author","study design","publication date","primary series vaccine","historyofCOVID ","dose_number","dose","timing_of_dose_days","outcome_detail","outcome_category","country","population_detail","population_category","VE","LCL","UCL","variant_sequenced","variant_context","max duration follow-up","dose interval","notes","country_clean","iso3c","Study_id_f","Country.Code","GNI_per_c_WB","year_GNI","Economy","Region","Income group","q_GNI_per_c_WB","continent","owid_vac_intro","owid_vac_F40","owid_vac_F70","who_vac_intro","min_vac_intro","diff_owid_who_intro","diff_min_vac_intro_8Dec2020","diff_intro_F40","diff_intro_F70","owid_who","diff_min_vac_intro_8Dec2020_clean","V1_date_group","V1_group","V40_date_group","V40_group","V1_dummy","V40_dummy","V70_dummy","publication_date","outcome_final","semester","clean_vaccine","vac_type","variant_clean","earliest_date","min_pub_date"
"1",1,"Amit","Prospective cohort","18Feb2021","BNT162b2 (Pfizer BioNTech)","excluded","1+","1+","15-28 including some up to day 7 post dose 2","infection ","infection","Israel","HCW","HCW",75,"72",84,NA,"original & alpha",NA,NA,NA,"Israel","ISR",1,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-02-18,"infection","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-02-18
"2",1,"Amit","Prospective cohort","18Feb2021","BNT162b2 (Pfizer BioNTech)","excluded","1+","1+","15-28 including some up to day 7 post dose 2","symptomatic disease","symptomatic","Israel","HCW","HCW",85,"71",92,NA,"original & alpha",NA,NA,NA,"Israel","ISR",1,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-02-18,"symptomatic","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-02-18
"3",2,"Immunisation and Countermeasures Division, National Infection Service, PHE","Screening method","22Feb2021","BNT162b2 (Pfizer BioNTech)","included","1","1",">28","symptomatic disease","symptomatic","UK","> 80 years","> 80 years",57,"48",63,NA,"alpha",NA,NA,NA,"UK","GBR",2,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,"who",13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2021-02-22,"symptomatic","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha",NA,2021-02-22
"4",2,"Immunisation and Countermeasures Division, National Infection Service, PHE","Screening method","22Feb2021","BNT162b2 (Pfizer BioNTech)","included","2","final","7","symptomatic disease","symptomatic","UK","> 80 years","> 80 years",88,"84",90,NA,"alpha",NA,NA,NA,"UK","GBR",2,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,"who",13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2021-02-22,"symptomatic","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha",NA,2021-02-22
"5",3,"Dagan","Retrospective cohort","24Feb2021","BNT162b2 (Pfizer BioNTech)","excluded","1","1","14-21","infection ","infection","Israel","general pop","general pop",46,"40",51,NA,"original & alpha",NA,NA,NA,"Israel","ISR",3,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-02-24,"infection","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-02-24
"6",3,"Dagan","Retrospective cohort","24Feb2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final",">7","infection ","infection","Israel","general pop","general pop",92,"88",95,NA,"original & alpha",NA,NA,NA,"Israel","ISR",3,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-02-24,"infection","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-02-24
"7",3,"Dagan","Retrospective cohort","24Feb2021","BNT162b2 (Pfizer BioNTech)","excluded","1","1","14-21","symptomatic disease","symptomatic","Israel","general pop","general pop",57,"50",63,NA,"original & alpha",NA,NA,NA,"Israel","ISR",3,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-02-24,"symptomatic","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-02-24
"8",3,"Dagan","Retrospective cohort","24Feb2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final",">7","symptomatic disease","symptomatic","Israel","general pop","general pop",94,"87",98,NA,"original & alpha",NA,NA,NA,"Israel","ISR",3,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-02-24,"symptomatic","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-02-24
"9",3,"Dagan","Retrospective cohort","24Feb2021","BNT162b2 (Pfizer BioNTech)","excluded","1","1","14-21","hospitalization","severe","Israel","general pop","general pop",74,"56",86,NA,"original & alpha",NA,NA,NA,"Israel","ISR",3,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-02-24,"severe","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-02-24
"10",3,"Dagan","Retrospective cohort","24Feb2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final",">7","hospitalization","severe","Israel","general pop","general pop",87,"55",100,NA,"original & alpha",NA,NA,NA,"Israel","ISR",3,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,"who",8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-02-24,"severe","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","other combinations",NA,2021-02-24
