"","study ID","first author","study design","publication date","primary series vaccine","historyofCOVID","dose_number","dose","timing_of_dose_days","outcome_detail","outcome_category","country","population_detail","population_category","VE","LCL","UCL","variant_sequenced","variant_context","max duration follow-up","dose interval","notes","country_clean","iso3c","Study_id_f","Country.Code","GNI_per_c_WB","year_GNI","Economy","Region","Income group","q_GNI_per_c_WB","continent","owid_vac_intro","owid_vac_F40","owid_vac_F70","who_vac_intro","min_vac_intro","diff_owid_who_intro","diff_min_vac_intro_8Dec2020","diff_intro_F40","diff_intro_F70","diff_min_vac_intro_8Dec2020_clean","V1_date_group","V1_group","V40_date_group","V40_group","V1_dummy","V40_dummy","V70_dummy","publication_date","outcome_final","semester","clean_vaccine","vac_type","variant_clean","include_population","inclusion_notes"
"1",21,"Goldberg","Prospective cohort","30Mar2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14+","death","death","Israel",">= 16 years","general pop",96,94.9,96.9,NA,"alpha","~8 weeks",NA,NA,"Israel","ISR",21,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-03-30,"death","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"2",26,"Haas","Retrospective cohort","05May2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final",">7","death","death","Israel","general pop","general pop",96.7,96,97.3,NA,"alpha",NA,NA,NA,"Israel","ISR",26,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-05-05,"death","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"3",95,"Andrews","Test-negative case-control","12Jan2022","BNT162b2 (Pfizer BioNTech)","excluded","2","final","14+","death","death","UK",">= 16 years","general pop",96.6,94.4,96.5,"alpha","alpha","~33.5 weeks",NA,NA,"UK","GBR",95,"GBR",43240,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe",2021-01-10,2021-06-04,2021-12-23,2020-12-21,2020-12-21,20,13,165,367,13,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","yes",2022-01-12,"death","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"4",96,"Glatman-Freedman","Retrospective cohort","16Sept2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","22-28","death","death","Israel",">= 16 years","general pop",98.6,97,99.3,NA,"alpha","2 weeks",NA,NA,"Israel","ISR",96,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,8,81,NA,8,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2021-09-16,"death","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"5",126,"Voko","Retrospective cohort","24Nov2021","BNT162b2 (Pfizer BioNTech)","included","2","final","14+","death","death","Hungary",">= 16 years","general pop",90.3,88.9,91.5,NA,"alpha","~19 weeks",NA,NA,"Hungary","HUN",126,"HUN",16570,2019,"Hungary","Europe & Central Asia","High income",3,"Europe",2020-12-28,2021-06-05,NA,2020-12-23,2020-12-23,5,15,164,NA,15,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","no",2021-11-24,"death","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"6",326,"Lin","Retrospective cohort","26Sep2022","BNT162b2 (Pfizer BioNTech)","included","2","final","~3 weeks","death","death","USA",">=5 years","general pop",97.1,94.7,98.4,NA,"alpha","~3 weeks",NA,"Note: this study includes additional VE estimates for individuals vaccinated during different time periods","USA","USA",326,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-09-26,"death","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"7",326,"Lin","Retrospective cohort","26Sep2022","BNT162b2 (Pfizer BioNTech)","included","2","final","~21 weeks","death","death","USA",">=5 years","general pop",91.9,89.4,93.8,NA,"alpha","~21 weeks",NA,"Note: this study includes additional VE estimates for individuals vaccinated during different time periods","USA","USA",326,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-09-26,"death","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","yes",NA
"8",126,"Voko","Retrospective cohort","24Nov2021","mRNA-1273 (Moderna)","included","2","final","14+","death","death","Hungary",">= 16 years","general pop",93.8,90.3,96.1,NA,"alpha","~15 weeks",NA,NA,"Hungary","HUN",126,"HUN",16570,2019,"Hungary","Europe & Central Asia","High income",3,"Europe",2020-12-28,2021-06-05,NA,2020-12-23,2020-12-23,5,15,164,NA,15,"before jan/2021","<30","Jun-Aug/2021","<180","yes","yes","no",2021-11-24,"death","2021 (Jul-Dec)","Moderna mRNA-1273","mRNA","alpha","yes",NA
"9",326,"Lin","Retrospective cohort","26Sep2022","mRNA-1273 (Moderna)","included","2","final","~2 weeks","death","death","USA",">=5 years","general pop",97.2,95.1,98.4,NA,"alpha","~2 weeks",NA,"Note: this study includes additional VE estimates for individuals vaccinated during different time periods","USA","USA",326,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-09-26,"death","2022 (Jul-Dec)","Moderna mRNA-1273","mRNA","alpha","yes",NA
"10",326,"Lin","Retrospective cohort","26Sep2022","mRNA-1273 (Moderna)","included","2","final","~20 weeks","death","death","USA",">=5 years","general pop",92.8,90.3,94.6,NA,"alpha","~20 weeks",NA,"Note: this study includes additional VE estimates for individuals vaccinated during different time periods","USA","USA",326,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,5,152,NA,5,"before jan/2021","<30","before Jun/2021","<180","yes","yes","no",2022-09-26,"death","2022 (Jul-Dec)","Moderna mRNA-1273","mRNA","alpha","yes",NA
